# OS:        Windows 11 (22631) (x86_64)
# CPU:       Intel(R) Core(TM) i9-9900 CPU @ 3.10GHz (8 physical / 16 logical cores, 3096 MHz)
# RAM:       31.8 GiB
# toolchain: rustc 1.96.0 (ac68faa20 2026-05-25)
# fast-tiff-lib: 0.17.0 (path dependency)
# tiff (rust): 0.11 | TinyTIFF: vendored | libtiff: vendored
# libtiff:   LIBTIFF, Version 4.7.2 (vendored)
family,run,format,compression,predictor,strips,bigtiff,width,height,frames,reader,ok,reason,open_us,mean_us,min_us,total_read_ms,mb_s,rel,write_mb_s
"256x256 u16 none rps32","256x256 u16 none rps32 / 10000 frames",u16,none,false,8,false,256,256,10000,tiff-rs,true,"",201.100,104.6263,59.1000,1084.1817,1194.728,2.8454,1599.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 10000 frames",u16,none,false,8,false,256,256,10000,tinytiff,true,"",143.600,45.0263,42.1000,477.9578,2776.153,1.2245,1599.1
"256x256 u16 none rps32","256x256 u16 none rps32 / 10000 frames",u16,none,false,8,false,256,256,10000,libtiff,true,"",159.800,52.1183,44.3000,540.7851,2398.392,1.4174,1599.1
"256x256 f32 none","256x256 f32 none / 1 frames",f32,none,false,1,false,256,256,1,raw,true,"",26.800,28.3000,28.3000,0.0283,8833.922,2.2283,373.6
"256x256 f32 none","256x256 f32 none / 1 frames",f32,none,false,1,false,256,256,1,fast-tiff,true,"",46.900,71.5000,71.5000,0.0715,3496.503,5.6299,373.6
"256x256 f32 none","256x256 f32 none / 1 frames",f32,none,false,1,false,256,256,1,fast-tiff-preload,true,"",43.300,124.7000,124.7000,0.1247,2004.812,9.8189,373.6
"256x256 f32 none","256x256 f32 none / 1 frames",f32,none,false,1,false,256,256,1,tiff-rs,true,"",108.700,27.7000,27.7000,0.0277,9025.271,2.1811,373.6
"256x256 f32 none","256x256 f32 none / 1 frames",f32,none,false,1,false,256,256,1,tinytiff,true,"",87.300,12.7000,12.7000,0.0127,19685.039,1.0000,373.6
"256x256 f32 none","256x256 f32 none / 1 frames",f32,none,false,1,false,256,256,1,libtiff,true,"",67.800,46.4000,46.4000,0.0464,5387.931,3.6535,373.6
"256x256 f32 none","256x256 f32 none / 10 frames",f32,none,false,1,false,256,256,10,raw,true,"",29.400,45.9444,27.4000,0.4911,5441.354,1.3615,2130.4
"256x256 f32 none","256x256 f32 none / 10 frames",f32,none,false,1,false,256,256,10,fast-tiff,true,"",152.200,95.0778,88.3000,1.0137,2629.426,2.8176,2130.4
"256x256 f32 none","256x256 f32 none / 10 frames",f32,none,false,1,false,256,256,10,fast-tiff-preload,true,"",88.700,150.2100,150.2100,1.5021,1664.337,4.4514,2130.4
"256x256 f32 none","256x256 f32 none / 10 frames",f32,none,false,1,false,256,256,10,tiff-rs,true,"",128.900,97.0111,24.0000,0.9955,2577.024,2.8749,2130.4
